127.0.0.1 - - [01/Feb/2022:16:36:05 +0100] "GET / HTTP/1.1" 404 688
127.0.0.1 - - [01/Feb/2022:16:36:07 +0100] "GET /Prueba/index.jsp HTTP/1.1" 500 4679
127.0.0.1 - - [01/Feb/2022:16:36:31 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 201
127.0.0.1 - - [01/Feb/2022:16:36:31 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:36:31 +0100] "GET /Prueba/img/0.png HTTP/1.1" 200 80036
127.0.0.1 - - [01/Feb/2022:16:36:36 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 201
127.0.0.1 - - [01/Feb/2022:16:36:36 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:36:36 +0100] "GET /Prueba/img/1.png HTTP/1.1" 200 27693
127.0.0.1 - - [01/Feb/2022:16:40:38 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1554
127.0.0.1 - - [01/Feb/2022:16:40:38 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:41:40 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1536
127.0.0.1 - - [01/Feb/2022:16:41:40 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:41:55 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1548
127.0.0.1 - - [01/Feb/2022:16:41:55 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:44:31 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1491
127.0.0.1 - - [01/Feb/2022:16:44:31 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:44:51 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1491
127.0.0.1 - - [01/Feb/2022:16:44:51 +0100] "GET /Prueba/css/estilos.css HTTP/1.1" 404 718
127.0.0.1 - - [01/Feb/2022:16:45:23 +0100] "GET /Prueba/index.jsp HTTP/1.1" 200 1491
